date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),est. cyano (cells/ml),est.chl a (ug/l)
05/15/2024,19:15,18.79,.52,7.42,9.9,106.4,1.74,5.04,.61,1300,24.6
05/15/2024,19:30,18.78,.52,7.42,9.88,106.2,1.69,5.81,.81,900,24.7
05/15/2024,19:45,18.77,.52,7.41,9.85,105.9,1.78,5.84,.74,900,24.5
05/15/2024,20:00,18.76,.52,7.41,9.85,105.8,1.62,5.87,.66,500,24.5
05/15/2024,20:15,18.75,.52,7.38,9.74,104.7,1.61,5.9,.73,500,24.5
05/15/2024,20:30,18.74,.52,7.4,9.77,104.9,1.65,6.17,.77,500,24.5
05/15/2024,20:45,18.73,.52,7.4,9.76,104.9,1.76,6.63,.76,1200,24.7
05/15/2024,21:00,18.73,.52,7.38,9.72,104.3,1.68,5.83,.71,600,24.5
05/15/2024,21:15,18.72,.52,7.36,9.6,103,1.65,5.52,.75,100,24.6
05/15/2024,21:30,18.71,.52,7.35,9.56,102.6,1.66,7,.72,-100,24.5
05/15/2024,21:45,18.67,.52,7.32,9.42,101,1.62,5.73,.63,-300,24.4
05/15/2024,22:00,18.65,.52,7.28,9.23,98.9,1.74,5.04,.74,-100,24.5
05/15/2024,22:15,18.64,.52,7.29,9.29,99.5,1.9,4.73,.57,300,24.2
05/15/2024,22:30,18.61,.52,7.27,9.25,99.1,1.6,6.03,.52,300,24
05/15/2024,22:45,18.58,.52,7.29,9.29,99.4,1.8,4.87,.61,300,23.1
05/15/2024,23:00,18.56,.52,7.29,9.27,99.2,1.7,4.91,.55,500,21.6
05/15/2024,23:15,18.55,.52,7.24,9.11,97.5,1.71,3.82,.58,1200,20.5
05/15/2024,23:30,18.51,.52,7.24,9.07,97,1.54,4.08,.48,1200,20
05/15/2024,23:45,18.49,.52,7.22,9.01,96.3,1.64,3.67,.43,1200,19.6
05/16/2024,00:00,18.48,.52,7.22,8.99,96.1,1.57,4.11,.38,300,18.3
05/16/2024,00:15,18.47,.52,7.21,8.96,95.7,1.72,3.84,.43,300,17
05/16/2024,00:30,18.44,.52,7.2,8.83,94.3,1.66,3.97,.46,500,16.4
05/16/2024,00:45,18.41,.52,7.18,8.73,93.1,1.65,3.79,.42,-100,15.8
05/16/2024,01:00,18.38,.52,7.19,8.79,93.8,1.46,3.53,.4,-400,15.5
05/16/2024,01:15,18.37,.52,7.21,8.89,94.8,1.52,3.39,.37,-1400,15.4
05/16/2024,01:30,18.37,.52,7.2,8.83,94.1,1.51,3.48,.4,-1400,15
05/16/2024,01:45,18.34,.52,7.21,8.84,94.1,1.58,2.97,.45,-2200,14.8
05/16/2024,02:00,18.3,.52,7.2,8.74,93,4.48,3.2,.37,-1200,14.3
05/16/2024,02:15,18.27,.52,7.19,8.68,92.3,1.59,4.29,.39,-1900,14.2
05/16/2024,02:30,18.2,.53,7.17,8.61,91.4,1.4,3.17,.39,-2800,14
05/16/2024,02:45,18.18,.53,7.15,8.45,89.7,1.64,2.8,.3,-2800,13.5
05/16/2024,03:00,18.2,.53,7.17,8.55,90.8,1.37,3.23,.32,-2800,13.2
05/16/2024,03:15,18.21,.52,7.19,8.71,92.5,1.42,3.07,.3,-2900,13.1
05/16/2024,03:30,18.2,.53,7.16,8.67,92.1,1.43,2.59,.23,-4000,12.5
05/16/2024,03:45,18.22,.53,7.16,8.68,92.3,1.44,2.73,.28,-5800,12.2
05/16/2024,04:00,18.26,.53,7.2,8.84,94,1.43,3.22,.34,-5900,12.2
05/16/2024,04:15,18.24,.53,7.22,8.89,94.5,1.48,2.95,.28,-5900,11.8
05/16/2024,04:30,18.16,.53,7.17,8.56,90.9,1.55,2.49,.28,-5800,11.3
05/16/2024,04:45,18.19,.53,7.19,8.74,92.8,1.53,3.29,.37,-5800,11.7
05/16/2024,05:00,18.16,.52,7.17,8.63,91.6,1.55,3.15,.34,-5100,11.7
05/16/2024,05:15,18.14,.53,7.18,8.66,91.8,1.42,2.88,.32,-5100,11.5
05/16/2024,05:45,18.08,.54,7.17,8.52,90.3,1.39,2.6,.26,-4600,11.8
05/16/2024,06:00,18,.54,7.15,8.47,89.6,1.46,3.85,.28,-4600,11.4
05/16/2024,06:15,17.96,.54,7.18,8.54,90.3,1.37,2.32,.21,-5100,11.2
05/16/2024,06:30,17.95,.54,7.18,8.53,90.2,1.36,2.45,.26,-6100,11.2
05/16/2024,06:45,17.96,.54,7.17,8.49,89.8,1.56,2.76,.24,-6100,10.6
05/16/2024,07:00,17.91,.54,7.18,8.54,90.1,1.35,2.38,.25,-6900,10.2
05/16/2024,07:15,17.96,.54,7.18,8.52,90,1.44,2.65,.22,-6900,10.1
05/16/2024,07:30,17.97,.55,7.17,8.47,89.6,1.52,2.34,.21,-6300,9.8
05/16/2024,07:45,17.96,.55,7.16,8.39,88.7,1.56,2.76,.3,-5400,9.9
05/16/2024,08:00,17.94,.55,7.16,8.38,88.6,1.53,2.84,.29,-4600,9.9
05/16/2024,08:15,17.95,.55,7.16,8.41,88.9,1.53,2.73,.3,-3500,10.4
05/16/2024,08:45,17.93,.58,7.14,8.32,87.9,1.33,2.95,.31,-3600,10.9
05/16/2024,09:00,17.86,.6,7.11,8.09,85.4,1.39,2.43,.28,-3600,10.9
05/16/2024,09:15,17.73,.59,7.08,7.87,82.8,1.43,1.92,.2,-3600,10.9
05/16/2024,09:30,17.72,.58,7.1,7.93,83.4,1.59,2.39,.23,-3300,10.9
05/16/2024,09:45,17.8,.57,7.13,8.2,86.4,1.38,3.3,.32,-5900,10.9
05/16/2024,10:00,17.75,.56,7.12,8.24,86.7,1.39,2.19,.29,-6900,10
